,states
0,Arizona
1,Colorado
2,Connecticut
3,Delaware
4,Idaho
5,Iowa
6,Kansas
7,Kentucky
8,Maryland
9,Massachusetts
10,Minnesota
11,Missouri
12,Montana
13,Nebraska
14,New Mexico
15,North Dakota
16,Ohio
17,Oklahoma
18,Oregon
19,Pennsylvania
20,Rhode Island
21,South Dakota
22,Utah
23,Wisconsin
